中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
stand beside              - 侠
stand               - 立
stand               - 站
standard               - 格
stellaria               - 银胡
split               - 劈
split               - 擘
spring               - 春
splitting headache              - 头痛如劈
splitting headache              - 头痛如破
spodiopogon               - 茨菇草
Spring and Autumn             - 春秋
spine               - 膂骨
spider               - 蛛
spider               - 蜘
spider               - 蜘蛛
spring               - 泉
spoon               - 匙
spirit mechanism              - 神机
sprout               - 苗
spotted grouper              - 玳瑁石斑
sprouting               - 发芽
spinach               - 赤根菜
spinach               - 鹦鹉菜
spleen disease              - 脾病
splenic artery              - 脾动脉
spin               - 纺
spin               - 转
spina bifida              - 裂脊柱
frankincense               - 多伽罗香
foreign               - 胡
frankincense               - 天泽香
foreign               - 舶
frankincense               - 摩勒香
foreskin               - 包皮
forest frog              - 哈士蟆
frankincense               - 西香
four limbs              - 四肢
For Peasants              - 向农
frankincense               - 马尾香
forest               - 林
forget               - 忘
forgetfulness               - 健忘
forgetfulness               - 善忘
five phases              - 五行
follow-up               - 随访
flatulence               - 下气
floss               - 绒
flatus               - 矢气
flossing               - 制绒
fluctuating               - 起伏
fluctuating               - 起伏不定
food               - 饭
food               - 饮食
food and drink             - 饮食
fluid               - 水液
forceful               - 有力
fleshy exterior              - 肌表
forceless               - 无力
flexor               - 屈肌
forearm               - 下膊
forearm               - 前臂
fluids               - 津液
fluorine               - 氟
flaccid               - 迟缓
flag               - 旗
flake               - 屑
flour               - 面
flow               - 溜
flower               - 花
food               - 水谷
five               - 伍
flax               - 亚麻
flea               - 蚤
Fifth Place              - 五处
flake               - 镑
flame               - 炎
flame               - 焰
flare               - 熛
open heart surgery             - 开心外科手术
osteoporosis               - 骨质疏松症
ovaries               - 卵巢
other               - 别
otitis externa              - 外耳炎
oven               - 灶
otolith               - 石首鱼头石
orifice               - 空窍
otolith               - 鱼脑石
obstruction               - 障
old woman              - 婆
old               - 旧
optic neuritis              - 视神经炎
omphalia               - 雷丸
oral liquid              - 口服液
on               - 当
oral cavity              - 口腔
On Channel              - 经中
old               - 陈
orange               - 橙
orchid               - 兰
old tea              - 陈茗
otolith               - 鱼首石
ottelia               - 龙舌草
oven               - 炉
otter               - 獭
nosebleed               - 鼻衄血
oak               - 橡
nostril               - 畜门
oak bark              - 橡木皮
nostril               - 鼻孔
oar               - 桡
oar               - 舟楫
obesity               - 形体肥胖
not               - 不
non-glutinous rice              - 大米
not sound              - 不秘
offspring               - 昆
non-glutinous rice              - 粳米
nongonococcal urethritis (NGU)             - 非淋菌性尿道炎
